country,InstagramUsers_2024,Freedom to make life choices,Cluster
Pakistan,18593301.0,0.542,1
Nigeria,12635900.0,0.566,1
Bangladesh,7196900.0,0.775,2
Ethiopia,1105800.0,0.441,0
Vietnam,8352471.741463414,0.843,2
Tanzania,3721200.0,0.709,2
South Africa,7298100.0,0.537,2
Kenya,3224000.0,0.519,0
Myanmar,1418900.0,0.45,0
Uganda,756400.0,0.587,0
Algeria,11807400.0,0.247,1
Yemen,1737900.0,0.362,0
Poland,12306700.0,0.6,1
Morocco,12493300.0,0.631,1
Ukraine,12606700.0,0.631,1
Uzbekistan,9427600.0,0.835,2
Mozambique,637800.0,0.728,0
Ghana,2313700.0,0.623,0
Peru,10340500.0,0.615,1
Saudi Arabia,16958600.0,0.787,1
Madagascar,211100.0,0.25,0
Ivory Coast,1181200.0,0.547,0
Nepal,4143000.0,0.653,2
Cameroon,643900.0,0.521,0
Niger,89201.0,0.615,0
Australia,14294000.0,0.756,1
Sri Lanka,1837000.0,0.583,0
Malawi,140000.0,0.571,0
Zambia,482400.0,0.727,0
Kazakhstan,12432500.0,0.733,1
Chile,13082800.0,0.651,1
Romania,5784300.0,0.717,2
Senegal,1337400.0,0.607,0
Guatemala,3471100.0,0.735,0
Netherlands,8920900.0,0.725,2
Ecuador,6720700.0,0.606,2
Cambodia,1786600.0,0.863,0
Zimbabwe,535900.0,0.487,0
Guinea,171900.0,0.521,0
Bolivia,2304800.0,0.719,0
Tunisia,3458300.0,0.254,0
Belgium,5407400.0,0.729,2
Jordan,4015600.0,0.593,2
Dominican Republic,4898200.0,0.73,2
United Arab Emirates,7613800.0,0.815,2
Honduras,1934200.0,0.72,0
Sweden,6159200.0,0.838,2
Portugal,6464900.0,0.757,2
Azerbaijan,4279600.0,0.668,2
Greece,4721800.0,0.337,2
Hungary,2929100.0,0.581,0
Togo,178900.0,0.453,0
Israel,4598000.0,0.641,2
Austria,3682900.0,0.703,0
Switzerland,4132000.0,0.759,2
Sierra Leone,107300.0,0.469,0
Laos,584200.0,0.796,0
Libya,2136100.0,0.592,0
Kyrgyzstan,2928100.0,0.834,0
Paraguay,2649900.0,0.788,0
Nicaragua,1221100.0,0.793,0
Bulgaria,1949300.0,0.62,0
Serbia,3312800.0,0.663,0
El Salvador,1881600.0,0.816,0
Denmark,2893800.0,0.823,0
Singapore,3189800.0,0.743,0
Finland,2589200.0,0.859,0
Liberia,114000.0,0.546,0
Norway,2892500.0,0.835,0
Slovakia,1749600.0,0.566,0
Ireland,2727800.0,0.758,0
New Zealand,2528100.0,0.746,0
Mauritania,148400.0,0.343,0
Costa Rica,2555800.0,0.797,0
Kuwait,2960400.0,0.827,0
Panama,2678900.0,0.72,0
Croatia,1536800.0,0.469,0
Georgia,1779700.0,0.68,0
Mongolia,1030700.0,0.501,0
Uruguay,2321800.0,0.775,0
Bosnia and Herzegovina,1170100.0,0.621,0
Moldova,1048000.0,0.695,0
Namibia,426300.0,0.47,0
Armenia,1366600.0,0.65,0
Lithuania,1018500.0,0.533,0
Jamaica,1163000.0,0.647,0
Albania,1249100.0,0.69,0
Gambia,175700.0,0.459,0
Gabon,136300.0,0.516,0
Botswana,210000.0,0.567,0
Slovenia,736200.0,0.789,0
Latvia,729400.0,0.666,0
North Macedonia,852500.0,0.58,0
Bahrain,1131600.0,0.6206214285714285,0
Estonia,527600.0,0.805,0
Cyprus,913200.0,0.529,0
Mauritius,403600.0,0.641,0
Eswatini,64200.0,0.284,0
Luxembourg,304800.0,0.801,0
Montenegro,421100.0,0.632,0
Malta,276200.0,0.727,0
Iceland,223300.0,0.819,0
